id,phase,item,value,unit,source_type,source_ref,extracted_by,confidence,used_in,confirmed_by_user,notes
DNA2-P11,1,Class M-1H initial Class Notional Amount,13438002,USD,PPM,p24 Table 3 fn (2),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-1H.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained; pro rata with M-1 (5.0322% of the pair).
DNA2-P12,1,Class M-2A initial Class Notional Amount,57050000,USD,PPM,p24 Table 3 fn (4),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-2A.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Note.
DNA2-P13,1,Class M-2AH initial Class Notional Amount,3033550,USD,PPM,p24 Table 3 fn (4),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-2AH.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained; pro rata with M-2A (5.0489% of the pair).
DNA2-P14,1,Class M-2B initial Class Notional Amount,57050000,USD,PPM,p24 Table 3 fn (6),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-2B.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Note.
DNA2-P15,1,Class M-2BH initial Class Notional Amount,3033550,USD,PPM,p24 Table 3 fn (6),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-2BH.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained; pro rata with M-2B (5.0489% of the pair).
DNA2-P16,1,Class B-1A initial Class Notional Amount,69750000,USD,PPM,p24 Table 3 fn (8),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-1A.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Note. NEW vs DNA1 (no B-1A/B-1B in DNA1; DNA1 had a single retained B-1H).
DNA2-P17,1,Class B-1AH initial Class Notional Amount,3685450,USD,PPM,p24 Table 3 fn (8),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-1AH.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained; pro rata with B-1A (5.0186% of the pair). NEW vs DNA1.
DNA2-P18,1,Class B-1B initial Class Notional Amount,69750000,USD,PPM,p24 Table 3 fn (10),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-1B.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Note. NEW vs DNA1.
DNA2-P19,1,Class B-1BH initial Class Notional Amount,3685450,USD,PPM,p24 Table 3 fn (10),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-1BH.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained; pro rata with B-1B (5.0186% of the pair). NEW vs DNA1.
DNA2-P20,1,Class B-2H initial Class Notional Amount,200278501,USD,PPM,p24 Table 3 (row shifted; reconciled by subordination 0.250% below it),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-2H.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained. Coupon SOFR + 5.00% for modification loss/gain only.
DNA2-P21,1,Class B-3H initial Class Notional Amount,66760502,USD,PPM,p24 Table 3 (row shifted; reconciled = 0.25000% of CODB),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.B-3H.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained. First-loss; no coupon.
DNA2-P22,1,Class M-1 original Class Principal Balance,253600000,USD,PPM,p10 Table 1; confirmed by p24 Table 3 footnote,ppm-analyst,high,waterfall Notes,N,YAML original_notes.M-1.original_class_principal_balance_usd. Equals the M-1 Reference Tranche initial Class Notional Amount.
DNA2-P23,1,Class M-2A original Class Principal Balance,57050000,USD,PPM,p10 Table 1; confirmed by p24 Table 3 footnote,ppm-analyst,high,waterfall Notes,N,YAML original_notes.M-2A.original_class_principal_balance_usd. Equals the M-2A Reference Tranche initial Class Notional Amount.
DNA2-P24,1,Class M-2B original Class Principal Balance,57050000,USD,PPM,p10 Table 1; confirmed by p24 Table 3 footnote,ppm-analyst,high,waterfall Notes,N,YAML original_notes.M-2B.original_class_principal_balance_usd. Equals the M-2B Reference Tranche initial Class Notional Amount.
DNA2-P25,1,Class B-1A original Class Principal Balance,69750000,USD,PPM,p10 Table 1; confirmed by p24 Table 3 footnote,ppm-analyst,high,waterfall Notes,N,YAML original_notes.B-1A.original_class_principal_balance_usd. Equals the B-1A Reference Tranche initial Class Notional Amount.
DNA2-P26,1,Class B-1B original Class Principal Balance,69750000,USD,PPM,p10 Table 1; confirmed by p24 Table 3 footnote,ppm-analyst,high,waterfall Notes,N,YAML original_notes.B-1B.original_class_principal_balance_usd. Equals the B-1B Reference Tranche initial Class Notional Amount.
DNA2-P27,1,Class M-1 margin over SOFR Rate,1.20,percent,PPM,p10 Table 1 (margin column shifted); p12 Table 2 cross-check,ppm-analyst,medium,waterfall interest,N,"YAML original_notes.M-1.margin_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). Table 2 prints M-2 = SOFR + 1.60% and B-1 = SOFR + 2.10%; the exchange constraint (p111, equal annual interest at all SOFR levels) forces M-2A = M-2B = 1.60 and B-1A = B-1B = 2.10."
DNA2-P28,1,Class M-2A margin over SOFR Rate,1.60,percent,PPM,p10 Table 1 (margin column shifted); p12 Table 2 cross-check,ppm-analyst,medium,waterfall interest,N,"YAML original_notes.M-2A.margin_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). Table 2 prints M-2 = SOFR + 1.60% and B-1 = SOFR + 2.10%; the exchange constraint (p111, equal annual interest at all SOFR levels) forces M-2A = M-2B = 1.60 and B-1A = B-1B = 2.10."
DNA2-P29,1,Class M-2B margin over SOFR Rate,1.60,percent,PPM,p10 Table 1 (margin column shifted); p12 Table 2 cross-check,ppm-analyst,medium,waterfall interest,N,"YAML original_notes.M-2B.margin_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). Table 2 prints M-2 = SOFR + 1.60% and B-1 = SOFR + 2.10%; the exchange constraint (p111, equal annual interest at all SOFR levels) forces M-2A = M-2B = 1.60 and B-1A = B-1B = 2.10."
DNA2-P30,1,Class B-1A margin over SOFR Rate,2.10,percent,PPM,p10 Table 1 (margin column shifted); p12 Table 2 cross-check,ppm-analyst,medium,waterfall interest,N,"YAML original_notes.B-1A.margin_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). Table 2 prints M-2 = SOFR + 1.60% and B-1 = SOFR + 2.10%; the exchange constraint (p111, equal annual interest at all SOFR levels) forces M-2A = M-2B = 1.60 and B-1A = B-1B = 2.10."
DNA2-P31,1,Class B-1B margin over SOFR Rate,2.10,percent,PPM,p10 Table 1 (margin column shifted); p12 Table 2 cross-check,ppm-analyst,medium,waterfall interest,N,"YAML original_notes.B-1B.margin_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). Table 2 prints M-2 = SOFR + 1.60% and B-1 = SOFR + 2.10%; the exchange constraint (p111, equal annual interest at all SOFR levels) forces M-2A = M-2B = 1.60 and B-1A = B-1B = 2.10."
DNA2-P32,1,Class M-1 initial Class Coupon (first Accrual Period),4.87223,percent,PPM,p10 Table 1 (Initial Class Coupon column shifted); = 3.67223 + margin,ppm-analyst,medium,waterfall interest PD 1,N,YAML original_notes.M-1.initial_class_coupon_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). 3.67223 + 1.20 = 4.87223.
DNA2-P33,1,Class M-2A initial Class Coupon (first Accrual Period),5.27223,percent,PPM,p10 Table 1 (Initial Class Coupon column shifted); = 3.67223 + margin,ppm-analyst,medium,waterfall interest PD 1,N,YAML original_notes.M-2A.initial_class_coupon_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). 3.67223 + 1.60 = 5.27223.
DNA2-P34,1,Class M-2B initial Class Coupon (first Accrual Period),5.27223,percent,PPM,p10 Table 1 (Initial Class Coupon column shifted); = 3.67223 + margin,ppm-analyst,medium,waterfall interest PD 1,N,YAML original_notes.M-2B.initial_class_coupon_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). 3.67223 + 1.60 = 5.27223.
DNA2-P35,1,Class B-1A initial Class Coupon (first Accrual Period),5.77223,percent,PPM,p10 Table 1 (Initial Class Coupon column shifted); = 3.67223 + margin,ppm-analyst,medium,waterfall interest PD 1,N,YAML original_notes.B-1A.initial_class_coupon_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). 3.67223 + 2.10 = 5.77223.
DNA2-P36,1,Class B-1B initial Class Coupon (first Accrual Period),5.77223,percent,PPM,p10 Table 1 (Initial Class Coupon column shifted); = 3.67223 + margin,ppm-analyst,medium,waterfall interest PD 1,N,YAML original_notes.B-1B.initial_class_coupon_pct. Extract p10 is column-shifted; value reconciled arithmetically (see DNA2-Q1). 3.67223 + 2.10 = 5.77223.
DNA2-P37,1,Class B-2H margin over SOFR Rate,5.00,percent,PPM,p10 Table 1 Class of Reference Tranche,ppm-analyst,high,waterfall modification loss/gain (B-2H deemed interest),N,YAML reference_tranches.B-2H.class_coupon_formula. DNA1 4.75. Not a Note.
DNA2-P38,1,Class B-2H initial Class Coupon,8.67223,percent,PPM,p10 Table 1 Class of Reference Tranche,ppm-analyst,high,waterfall modification loss/gain PD 1,N,YAML reference_tranches.B-2H.initial_class_coupon_pct. = 3.67223 + 5.00.
DNA2-P39,1,Class B-1H margin / coupon,n/a,percent,PPM,p10 Table 1; p23 Transaction Diagram footnote,ppm-analyst,high,none,N,ABSENT: no B-1H tranche exists in DNA2; the B-1 layer is the B-1A and B-1B Notes. YAML reference_tranches.B-1H.* = null.
DNA2-P40,1,SOFR Rate for the first Accrual Period,3.67223,percent,PPM,p103 Description of the Notes - Interest; p11 Table 1 fn (2); p35 Summary,ppm-analyst,high,waterfall interest PD 1; modeling assumption (r),N,YAML coupon.first_accrual_period_sofr_rate_pct. DNA1 3.65786.
DNA2-P41,1,Class Coupon minimum rate (all Notes and B-2H),0,percent,PPM,p10 Table 1 Class Coupon Minimum Rate column,ppm-analyst,high,waterfall interest,N,"Floor on the Class Coupon, not on the index. YAML *.class_coupon_minimum_rate_pct."
DNA2-P42,1,Interest day count,actual/360,text,PPM,p203 Glossary Day Count Fraction; p103 Interest Payment,ppm-analyst,high,waterfall interest,N,YAML coupon.day_count. Same as DNA1.
DNA2-P43,1,Accrual Period,"prior Payment Date (Closing Date for the first) to the day before the Payment Date, inclusive",text,PPM,p196 Glossary Accrual Period,ppm-analyst,high,waterfall interest,N,YAML coupon.accrual_period. Same as DNA1.
DNA2-P44,1,Minimum denomination of Original Notes,10000,USD,PPM,p96 Description of the Notes - Form of Notes,ppm-analyst,high,not consumed by the engine,N,YAML original_notes.minimum_denomination_usd.
DNA2-P45,1,"Class M-1 expected WAL (Table 1, 10% CPR, redemption March 2031)",1.59,years,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 WAL,N,"YAML original_notes.M-1.expected_wal_years_table1. Basis: Early Redemption Date March 2031, 10% CPR from the Closing Date, no Credit Events, no Modification Events, payment on the 25th beginning April 2026."
DNA2-P46,1,"Class M-2A expected WAL (Table 1, 10% CPR, redemption March 2031)",3.90,years,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 WAL,N,"YAML original_notes.M-2A.expected_wal_years_table1. Basis: Early Redemption Date March 2031, 10% CPR from the Closing Date, no Credit Events, no Modification Events, payment on the 25th beginning April 2026."
DNA2-P47,1,"Class M-2B expected WAL (Table 1, 10% CPR, redemption March 2031)",4.85,years,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 WAL,N,"YAML original_notes.M-2B.expected_wal_years_table1. Basis: Early Redemption Date March 2031, 10% CPR from the Closing Date, no Credit Events, no Modification Events, payment on the 25th beginning April 2026."
DNA2-P48,1,"Class B-1A expected WAL (Table 1, 10% CPR, redemption March 2031)",5.02,years,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 WAL,N,"YAML original_notes.B-1A.expected_wal_years_table1. Basis: Early Redemption Date March 2031, 10% CPR from the Closing Date, no Credit Events, no Modification Events, payment on the 25th beginning April 2026."
DNA2-P49,1,"Class B-1B expected WAL (Table 1, 10% CPR, redemption March 2031)",5.02,years,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 WAL,N,"YAML original_notes.B-1B.expected_wal_years_table1. Basis: Early Redemption Date March 2031, 10% CPR from the Closing Date, no Credit Events, no Modification Events, payment on the 25th beginning April 2026."
DNA2-P50,1,Class M-1 expected principal window (Table 1),1-41,months,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 principal windows,N,YAML original_notes.M-1.expected_principal_window_months_table1.
DNA2-P51,1,Class M-2A expected principal window (Table 1),41-53,months,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 principal windows,N,YAML original_notes.M-2A.expected_principal_window_months_table1.
DNA2-P52,1,Class M-2B expected principal window (Table 1),53-60,months,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 principal windows,N,YAML original_notes.M-2B.expected_principal_window_months_table1.
DNA2-P53,1,Class B-1A expected principal window (Table 1),60-60,months,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 principal windows,N,YAML original_notes.B-1A.expected_principal_window_months_table1.
DNA2-P54,1,Class B-1B expected principal window (Table 1),60-60,months,PPM,p10 Table 1; basis p11 fn (1),ppm-analyst,high,tieout Table 1 principal windows,N,YAML original_notes.B-1B.expected_principal_window_months_table1.
DNA2-P55,1,Initial subordination A-H,3.000,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,"YAML reference_tranches.<X>.initial_subordination_pct. Subordination below A-H = M-1..B-3H = 801,115,005 / CODB = 3.0000037% -> printed 3.000%. Equals the Minimum Credit Enhancement threshold DNA2-P66 (knife-edge, as in DNA1)."
DNA2-P56,1,Initial subordination M-1 and M-1H,2.000,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct. = Table 1 M-1 initial credit enhancement.
DNA2-P57,1,Initial subordination M-2A and M-2AH,1.775,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct. = Table 1 M-2A initial credit enhancement.
DNA2-P58,1,Initial subordination M-2B and M-2BH,1.550,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct. = Table 1 M-2B initial credit enhancement.
DNA2-P59,1,Initial subordination B-1A and B-1AH,1.275,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct. = Table 1 B-1A initial credit enhancement.
DNA2-P60,1,Initial subordination B-1B and B-1BH,1.000,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct. = Table 1 B-1B initial credit enhancement.
DNA2-P61,1,Initial subordination B-2H,0.250,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct.
DNA2-P62,1,Initial subordination B-3H,0.000,percent,PPM,p24 Table 3 (row shifted; footnote markers fix the alignment); verified arithmetically,ppm-analyst,high,waterfall (load-time assertion),N,YAML reference_tranches.<X>.initial_subordination_pct.
DNA2-P63,1,Initial Senior Percentage,97.00000,percent,DERIVED,"A-H initial Class Notional Amount DNA2-P9 / Cut-off Date Balance DNA2-P1, rounded per DNA2-P96",ppm-analyst,high,waterfall PD 1 (unit test),N,"25,902,685,229.86 / 26,703,800,234.86 = 96.9999963% -> 97.00000% under the 5-decimal-of-a-percent rounding. Numerator is A-H ONLY (p223), unlike DNA1 (A-H + A-1 + A-1H)."
DNA2-P64,1,Initial Subordinate Percentage,3.00000,percent,DERIVED,100% - DNA2-P63,ppm-analyst,high,waterfall PD 1 (unit test),N,Unrounded 3.0000037%; equals the 3.000% Minimum Credit Enhancement threshold to five decimals of a percent. Knife-edge: the test passes only under the PPM rounding rule; a unit test must assert it.
DNA2-P65,1,Initial Offered Reference Tranche Percentage,2.00000,percent,DERIVED,(M-1 + M-1H + M-2A + M-2AH + M-2B + M-2BH + B-1A + B-1AH + B-1B + B-1BH) / Cut-off Date Balance,ppm-analyst,high,waterfall supplemental reduction (unit test),N,"534,076,002 / 26,703,800,234.86 = 2.00000%; far below the 5.50% threshold, so the Supplemental Reduction Amount is zero at inception."
DNA2-P66,1,Minimum Credit Enhancement Test threshold,3.000,percent,PPM,p211 Glossary Minimum Credit Enhancement Test,ppm-analyst,high,waterfall performance tests,N,Subordinate Percentage >= 3.000%. DNA1 3.525%. YAML performance_tests.minimum_credit_enhancement_threshold_pct.
DNA2-P67,1,"Cumulative Net Loss Test threshold, Payment Dates 1-12 (April 2026 to March 2027)",0.10,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P68,1,"Cumulative Net Loss Test threshold, Payment Dates 13-24 (April 2027 to March 2028)",0.20,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P69,1,"Cumulative Net Loss Test threshold, Payment Dates 25-36 (April 2028 to March 2029)",0.30,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P70,1,"Cumulative Net Loss Test threshold, Payment Dates 37-48 (April 2029 to March 2030)",0.40,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P71,1,"Cumulative Net Loss Test threshold, Payment Dates 49-60 (April 2030 to March 2031)",0.50,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P72,1,"Cumulative Net Loss Test threshold, Payment Dates 61-72 (April 2031 to March 2032)",0.60,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P73,1,"Cumulative Net Loss Test threshold, Payment Dates 73-84 (April 2032 to March 2033)",0.70,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P74,1,"Cumulative Net Loss Test threshold, Payment Dates 85-96 (April 2033 to March 2034)",0.80,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P75,1,"Cumulative Net Loss Test threshold, Payment Dates 97-108 (April 2034 to March 2035)",0.90,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P76,1,"Cumulative Net Loss Test threshold, Payment Dates 109-120 (April 2035 to March 2036)",1.00,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P77,1,"Cumulative Net Loss Test threshold, Payment Dates 121-132 (April 2036 to March 2037)",1.10,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P78,1,"Cumulative Net Loss Test threshold, Payment Dates 133-144 (April 2037 to March 2038)",1.20,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P79,1,"Cumulative Net Loss Test threshold, Payment Dates 145 onward (April 2038 and thereafter)",1.30,percent,PPM,p202 Glossary Cumulative Net Loss Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.cumulative_net_loss_test_schedule_pct. Same percentages and same Payment-Date-number bands as DNA1; calendar one month later. Payment Date numbering (April 2026 = 1) is the extractor's mapping.
DNA2-P80,1,Cumulative Net Loss Percentage denominator,Cut-off Date aggregate UPB (DNA2-P1),text,PPM,p202 Glossary Cumulative Net Loss Percentage,ppm-analyst,high,waterfall performance tests,N,Cumulative (PLA - PRA) including the current Payment Date. Same as DNA1.
DNA2-P81,1,Delinquency Test factor,50,percent,PPM,p203 Glossary Delinquency Test,ppm-analyst,high,waterfall performance tests,N,YAML performance_tests.delinquency_test_factor_pct. Same as DNA1. Modeling Assumption (e) satisfies the test in all PPM tables.
DNA2-P82,1,Delinquency Test averaging window,6,Payment Dates,PPM,p203 Glossary Delinquency Test,ppm-analyst,high,waterfall performance tests,N,Average since the Closing Date before the sixth Payment Date. Same as DNA1.
DNA2-P83,1,Class A-1 Cumulative Net Loss Test threshold,n/a,percent,PPM,p202 Glossary (only the Cumulative Net Loss Test is defined); string 'Class A-1' absent from the extract,ppm-analyst,high,none,N,ABSENT in DNA2. YAML performance_tests.class_a1_cumulative_net_loss_test = null. DNA1 had 1.00%.
DNA2-P84,1,Class A-1 Reduction Amount / Appendix G schedule,n/a,USD,PPM,"p109 Allocation of Senior Reduction Amount (A-H is first, no carve-out); p9 TOC lists Appendices A-F only",ppm-analyst,high,none,N,"ABSENT in DNA2. YAML principal.class_a1_reduction_amount = null, principal.appendix_g_schedule = null."
DNA2-P85,1,Class A-1 Additional Reduction Amount,n/a,USD,PPM,p225 Glossary Supplemental Reduction Amount (single 5.50% limb),ppm-analyst,high,none,N,ABSENT in DNA2. YAML principal.class_a1_additional_reduction_amount = null.
DNA2-P86,1,Supplemental Reduction threshold (Offered Reference Tranche Percentage),5.50,percent,PPM,p225 Glossary Supplemental Reduction Amount,ppm-analyst,high,waterfall supplemental reduction,N,YAML principal.supplemental_reduction_threshold_pct. Same as DNA1. ORTP numerator is the ten M-1..B-1BH tranches (p214); no A-1 term.
DNA2-P87,1,Senior Percentage numerator,A-H only,text,PPM,p223 Glossary Senior Percentage; Senior Reference Tranche,ppm-analyst,high,waterfall Senior Percentage,N,DIFFERENT vs DNA1 (A-H + A-1 + A-1H). YAML principal.senior_percentage.
DNA2-P88,1,Senior Reduction Amount allocation order,A-H; M-1/M-1H; M-2A/M-2AH; M-2B/M-2BH; B-1A/B-1AH; B-1B/B-1BH; B-2H; B-3H,text,PPM,p109 Allocation of Senior Reduction Amount,ppm-analyst,high,waterfall step 2,N,"8 priorities, pairs pro rata by Class Notional Amount immediately prior. YAML principal.senior_reduction_allocation_order."
